[['Marino 2nd Floor', '16', '11/03/2022 11:25 PM'], ['Marino Gym', '32', '11/03/2022 11:25 PM'], ['Marino 3rd Floor Weights', '55', '11/03/2022 10:53 PM'], ['Marino 3rd Floor Cardio', '38', '11/03/2022 10:53 PM'], ['Marino Track', '6', '11/03/2022 10:53 PM'], ['Squashbusters', '20', '11/03/2022 11:30 PM']]
[['Marino 2nd Floor', '16', '11/03/2022 11:25 PM'], ['Marino Gym', '32', '11/03/2022 11:25 PM'], ['Marino 3rd Floor Weights', '55', '11/03/2022 10:53 PM'], ['Marino 3rd Floor Cardio', '38', '11/03/2022 10:53 PM'], ['Marino Track', '6', '11/03/2022 10:53 PM'], ['Squashbusters', '20', '11/03/2022 11:30 PM']]
[['Marino 2nd Floor', '16', '11/03/2022 11:25 PM'], ['Marino Gym', '32', '11/03/2022 11:25 PM'], ['Marino 3rd Floor Weights', '55', '11/03/2022 10:53 PM'], ['Marino 3rd Floor Cardio', '38', '11/03/2022 10:53 PM'], ['Marino Track', '6', '11/03/2022 10:53 PM'], ['Squashbusters', '20', '11/03/2022 11:30 PM']]
[['Marino 2nd Floor', '16', '11/03/2022 11:25 PM'], ['Marino Gym', '32', '11/03/2022 11:25 PM'], ['Marino 3rd Floor Weights', '55', '11/03/2022 10:53 PM'], ['Marino 3rd Floor Cardio', '38', '11/03/2022 10:53 PM'], ['Marino Track', '6', '11/03/2022 10:53 PM'], ['Squashbusters', '20', '11/03/2022 11:30 PM']]
[['Marino 2nd Floor', '16', '11/03/2022 11:25 PM'], ['Marino Gym', '32', '11/03/2022 11:25 PM'], ['Marino 3rd Floor Weights', '55', '11/03/2022 10:53 PM'], ['Marino 3rd Floor Cardio', '38', '11/03/2022 10:53 PM'], ['Marino Track', '6', '11/03/2022 10:53 PM'], ['Squashbusters', '20', '11/03/2022 11:30 PM']]
[['Marino 2nd Floor', '16', '11/03/2022 11:25 PM'], ['Marino Gym', '32', '11/03/2022 11:25 PM'], ['Marino 3rd Floor Weights', '55', '11/03/2022 10:53 PM'], ['Marino 3rd Floor Cardio', '38', '11/03/2022 10:53 PM'], ['Marino Track', '6', '11/03/2022 10:53 PM'], ['Squashbusters', '20', '11/03/2022 11:30 PM']]
[['Marino 2nd Floor', '2', '11/04/2022 05:50 AM'], ['Marino Gym', '2', '11/04/2022 05:50 AM'], ['Marino 3rd Floor Weights', '24', '11/04/2022 05:58 AM'], ['Marino 3rd Floor Cardio', '6', '11/04/2022 05:58 AM'], ['Marino Track', '1', '11/04/2022 05:58 AM'], ['Squashbusters', '20', '11/03/2022 11:30 PM']]
[['Marino 2nd Floor', '20', '11/04/2022 06:55 AM'], ['Marino Gym', '1', '11/04/2022 06:55 AM'], ['Marino 3rd Floor Weights', '18', '11/04/2022 06:56 AM'], ['Marino 3rd Floor Cardio', '13', '11/04/2022 06:56 AM'], ['Marino Track', '1', '11/04/2022 06:56 AM'], ['Squashbusters', '8', '11/04/2022 06:27 AM']]
[['Marino 2nd Floor', '19', '11/04/2022 07:58 AM'], ['Marino Gym', '1', '11/04/2022 07:58 AM'], ['Marino 3rd Floor Weights', '19', '11/04/2022 07:29 AM'], ['Marino 3rd Floor Cardio', '14', '11/04/2022 07:29 AM'], ['Marino Track', '2', '11/04/2022 07:29 AM'], ['Squashbusters', '15', '11/04/2022 07:36 AM']]
[['Marino 2nd Floor', '16', '11/04/2022 08:56 AM'], ['Marino Gym', '2', '11/04/2022 08:56 AM'], ['Marino 3rd Floor Weights', '35', '11/04/2022 08:56 AM'], ['Marino 3rd Floor Cardio', '20', '11/04/2022 08:56 AM'], ['Marino Track', '2', '11/04/2022 08:56 AM'], ['Squashbusters', '20', '11/04/2022 08:30 AM']]
[['Marino 2nd Floor', '13', '11/04/2022 09:54 AM'], ['Marino Gym', '2', '11/04/2022 09:54 AM'], ['Marino 3rd Floor Weights', '36', '11/04/2022 09:28 AM'], ['Marino 3rd Floor Cardio', '21', '11/04/2022 09:28 AM'], ['Marino Track', '2', '11/04/2022 09:28 AM'], ['Squashbusters', '20', '11/04/2022 09:57 AM']]
[['Marino 2nd Floor', '14', '11/04/2022 10:22 AM'], ['Marino Gym', '5', '11/04/2022 10:22 AM'], ['Marino 3rd Floor Weights', '34', '11/04/2022 10:22 AM'], ['Marino 3rd Floor Cardio', '20', '11/04/2022 10:22 AM'], ['Marino Track', '1', '11/04/2022 10:22 AM'], ['Squashbusters', '16', '11/04/2022 10:33 AM']]
[['Marino 2nd Floor', '16', '11/04/2022 11:36 AM'], ['Marino Gym', '16', '11/04/2022 11:36 AM'], ['Marino 3rd Floor Weights', '38', '11/04/2022 11:53 AM'], ['Marino 3rd Floor Cardio', '23', '11/04/2022 11:53 AM'], ['Marino Track', '7', '11/04/2022 11:53 AM'], ['Squashbusters', '23', '11/04/2022 11:40 AM']]
[['Marino 2nd Floor', '18', '11/04/2022 12:43 PM'], ['Marino Gym', '18', '11/04/2022 12:43 PM'], ['Marino 3rd Floor Weights', '45', '11/04/2022 12:53 PM'], ['Marino 3rd Floor Cardio', '20', '11/04/2022 12:53 PM'], ['Marino Track', '6', '11/04/2022 12:53 PM'], ['Squashbusters', '17', '11/04/2022 12:56 PM']]
[['Marino 2nd Floor', '19', '11/04/2022 01:23 PM'], ['Marino Gym', '19', '11/04/2022 01:23 PM'], ['Marino 3rd Floor Weights', '47', '11/04/2022 01:27 PM'], ['Marino 3rd Floor Cardio', '18', '11/04/2022 01:27 PM'], ['Marino Track', '4', '11/04/2022 01:27 PM'], ['Squashbusters', '17', '11/04/2022 12:56 PM']]
